country,coffee_type,1990_1991,1991_1992,1992_1993,1993_1994,1994_1995,1995_1996,1996_1997,1997_1998,1998_1999,1999_2000,2000_2001,2001_2002,2002_2003,2003_2004,2004_2005,2005_2006,2006_2007,2007_2008,2008_2009,2009_2010,2010_2011,2011_2012,2012_2013,2013_2014,2014_2015,2015_2016,2016_2017,2017_2018,2018_2019,2019_2020,total_production
Peru,Arabica,56220000,72000000,105720000,39900000,70740000,112260000,108360000,115800000,126120000,164640000,160560000,169740000,180000000,161160000,205500000,149340000,259140000,183780000,232320000,197160000,244140000,322380000,267000000,246360000,172980000,198240000,253380000,256740000,255780000,230160000,5317620000
Rwanda,Arabica,32100000,29040000,38340000,26640000,1320000,19740000,17580000,11580000,13380000,18420000,16380000,17760000,19200000,15960000,27000000,20220000,21060000,13440000,22140000,15540000,19380000,15060000,15540000,15480000,14280000,17580000,13860000,15840000,22800000,20880000,567540000
Timor-Leste,Arabica,0,0,0,0,0,0,0,0,0,0,420000,1980000,2220000,2520000,1020000,1440000,2760000,2160000,2880000,2820000,3600000,2820000,3660000,4800000,6660000,3540000,4920000,3900000,8340000,6180000,68640000
Zimbabwe,Arabica,15120000,12060000,4680000,720000,6360000,7860000,10440000,7800000,8940000,7500000,6540000,7260000,6600000,5520000,7200000,3960000,2700000,1860000,1440000,1260000,600000,540000,420000,540000,900000,840000,900000,420000,600000,540000,132120000
Congo,Robusta,180000,180000,180000,180000,480000,720000,840000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,6900000
Cuba,Arabica,24840000,18120000,17040000,17100000,17040000,17100000,21960000,18000000,16800000,19680000,18720000,17100000,14340000,13440000,10800000,6000000,6300000,6600000,7980000,5520000,6480000,6000000,5280000,6420000,6060000,6000000,6180000,6780000,7680000,7800000,359160000
Dominican Republic,Arabica/Robusta,52800000,19260000,38280000,36240000,43800000,53160000,31140000,56460000,29220000,36420000,28020000,23220000,27300000,21060000,29460000,18600000,23220000,27900000,38700000,21120000,22680000,29460000,29280000,25500000,23820000,24000000,24720000,24720000,25860000,24120000,909540000
Haiti,Arabica,23580000,27780000,30000000,27060000,27000000,30840000,25680000,25920000,26340000,23940000,25200000,24180000,22440000,22440000,21900000,21360000,21720000,21540000,21540000,21060000,21000000,20940000,21000000,20700000,20580000,20460000,20520000,20520000,20820000,20820000,698880000
Philippines,Robusta/Arabica,58440000,61080000,55200000,52500000,52620000,51000000,53400000,56100000,40620000,37320000,20460000,15780000,15300000,17580000,21300000,25920000,26460000,26760000,35220000,43800000,11340000,10800000,10620000,11160000,11580000,12480000,12900000,12180000,12360000,18420000,890700000
Tanzania,Arabica/Robusta,55920000,47400000,47160000,44040000,40740000,53820000,45840000,37440000,44340000,50520000,48540000,37440000,49440000,36720000,45780000,48240000,49320000,48600000,71160000,40500000,50760000,38460000,69060000,48660000,45180000,55800000,50760000,46980000,70500000,55560000,1474680000
Zambia,Arabica,1380000,1740000,1740000,1620000,1260000,1560000,1980000,2280000,3720000,3540000,5580000,6000000,7140000,6000000,6600000,6180000,3360000,3660000,2100000,1680000,780000,660000,300000,660000,180000,240000,780000,1140000,2040000,900000,76800000
Cameroon,Robusta/Arabica,100920000,103560000,15600000,40980000,24360000,39600000,85920000,53340000,66840000,82200000,66780000,41160000,48060000,54000000,43620000,52200000,49080000,47700000,43500000,54120000,31620000,40140000,22260000,24240000,28980000,23460000,17520000,22200000,18600000,16080000,1358640000
Central African Republic,Robusta,10500000,7500000,8040000,9960000,15000000,6480000,12480000,6840000,12900000,14460000,6780000,4080000,5520000,2580000,1740000,1380000,6840000,2580000,3600000,6720000,4680000,5460000,1380000,5400000,3780000,6000000,2220000,3600000,2220000,3300000,184020000
Colombia,Arabica,863760000,1078800000,896820000,685320000,777840000,776280000,646740000,727320000,652080000,570720000,631140000,717000000,702720000,663180000,685740000,717120000,729840000,750900000,519840000,485880000,511380000,459180000,595620000,727440000,799980000,840540000,878040000,829440000,831960000,846000000,21598620000
Costa Rica,Arabica,153720000,165600000,179880000,141540000,148920000,170640000,133320000,157020000,146700000,149100000,145140000,134820000,122580000,113160000,112560000,99180000,102360000,107820000,90000000,88620000,96840000,109860000,109380000,93120000,88500000,86400000,82320000,93660000,85620000,88320000,3596700000
Côte d'Ivoire,Robusta,176400000,247740000,134760000,137580000,180360000,151920000,291540000,249840000,119520000,379200000,290760000,215760000,180600000,178860000,128160000,125940000,170880000,80280000,151560000,119340000,50220000,132960000,119640000,155880000,103680000,77340000,67020000,97440000,130500000,115740000,4761420000
Democratic Republic of Congo,Robusta/Arabica,94800000,73800000,70800000,58800000,77880000,65880000,47700000,48660000,44280000,28620000,21780000,25380000,20280000,27060000,21600000,20160000,22680000,24960000,25320000,20760000,18300000,21420000,20040000,20820000,20100000,22260000,16740000,22920000,23820000,23460000,1051080000
El Salvador,Arabica,147900000,131880000,180060000,142680000,137580000,155100000,152040000,130500000,123300000,155880000,102240000,101640000,81660000,82800000,71820000,79140000,74040000,90300000,87000000,64500000,112380000,69840000,74400000,30900000,39900000,33900000,36600000,45600000,45660000,39660000,2820900000
Equatorial Guinea,Robusta,240000,180000,120000,0,180000,120000,60000,120000,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080000
Ethiopia,Arabica,174540000,175500000,109500000,178020000,165780000,189900000,204420000,183420000,175680000,227040000,186900000,242640000,245640000,263640000,312780000,286740000,333060000,358020000,296940000,409800000,333600000,339000000,367920000,374520000,382980000,390900000,428580000,440820000,450660000,440580000,8669520000
Gabon,Robusta,180000,120000,180000,180000,480000,120000,60000,180000,240000,120000,0,60000,60000,0,0,60000,60000,60000,120000,0,120000,60000,60000,0,60000,60000,0,0,60000,0,2700000
Ghana,Robusta,2280000,4560000,2220000,2700000,3420000,3420000,1920000,1620000,3240000,5340000,4560000,420000,2040000,1080000,1080000,720000,1200000,2100000,1560000,1140000,4140000,1800000,1260000,1500000,2100000,2160000,1560000,780000,900000,840000,63660000
